Power plant;HV-B Station;HV-A Station;LV Station;Company;Individual;Capacity;Load
1;-;-;3;-;1248448;-;4226
1;-;-;3;-;1248449;-;4548
1;-;-;3;-;1248450;-;4930
1;-;-;3;-;1248451;-;4040
1;-;-;3;-;1248452;-;4788
1;-;-;3;-;1248453;-;4712
1;-;-;3;-;1248454;-;4060
1;-;-;3;-;1248455;-;4212
1;-;-;3;-;1248456;-;4310
1;-;-;3;-;1248457;-;4467
1;-;-;3;-;1248458;-;4063
1;-;-;3;-;1248459;-;5101
1;-;-;3;-;1248460;-;4880
1;-;-;3;-;1248461;-;4876
1;-;-;3;-;1248462;-;5027
1;-;-;3;-;1248463;-;5161
1;-;-;3;-;1248464;-;4750
1;-;-;3;-;1248465;-;4606
1;-;-;3;-;1248466;-;3963
1;-;-;3;-;1248467;-;3948
1;-;-;3;-;1248468;-;4289
1;-;-;3;-;1248469;-;4520
1;-;-;3;-;1248470;-;4728
1;-;-;3;-;1248471;-;4981
1;-;-;3;-;1248472;-;5162
1;-;-;3;-;1248473;-;5306
1;-;-;3;-;1248474;-;5039
1;-;-;3;-;1248475;-;4484
1;-;-;3;-;1248476;-;5532
1;-;-;3;-;1248477;-;5505
1;-;-;3;-;1248478;-;4019
1;-;-;3;-;1248479;-;4468
1;-;-;3;-;1248480;-;5022
1;-;-;3;-;1248481;-;4200
1;-;1;4;-;-;670661;-
1;-;-;4;24;-;-;12877
1;-;-;4;25;-;-;15063
1;-;-;4;26;-;-;13099
1;-;-;4;27;-;-;12024
1;-;-;4;28;-;-;14517
1;-;-;4;29;-;-;12527
1;-;-;4;-;1248482;-;5527
1;-;-;4;-;1248483;-;3808
1;-;-;4;-;1248484;-;5263
1;-;-;4;-;1248485;-;4568
1;-;-;4;-;1248486;-;5493
1;-;-;4;-;1248487;-;3873
1;-;-;4;-;1248488;-;5455
1;-;-;4;-;1248489;-;4802
1;-;-;4;-;1248490;-;4586
1;-;-;4;-;1248491;-;5555
1;-;-;4;-;1248492;-;4266
1;-;-;4;-;1248493;-;4745
1;-;-;4;-;1248494;-;4791
1;-;-;4;-;1248495;-;5056
1;-;-;4;-;1248496;-;4449
1;-;-;4;-;1248497;-;5174
1;-;-;4;-;1248498;-;4583
1;-;-;4;-;1248499;-;4518
1;-;-;4;-;1248500;-;4073
1;-;-;4;-;1248501;-;3894
1;-;-;4;-;1248502;-;4564
1;-;-;4;-;1248503;-;4066
1;-;-;4;-;1248504;-;5530
1;-;-;4;-;1248505;-;3887
1;-;-;4;-;1248506;-;3860
1;-;-;4;-;1248507;-;5110
1;-;-;4;-;1248508;-;4191
1;-;-;4;-;1248509;-;5622
1;-;-;4;-;1248510;-;4329
1;-;-;4;-;1248511;-;4153
1;-;-;4;-;1248512;-;5469
1;-;-;4;-;1248513;-;4553
1;-;-;4;-;1248514;-;5548
1;-;-;4;-;1248515;-;4400
1;-;-;4;-;1248516;-;5265
1;-;1;5;-;-;546363;-
1;-;-;5;30;-;-;10963
1;-;-;5;31;-;-;12686
1;-;-;5;32;-;-;12379
1;-;-;5;33;-;-;11305
1;-;-;5;34;-;-;13549
1;-;-;5;35;-;-;13525
1;-;-;5;36;-;-;14840
1;-;-;5;37;-;-;14598
1;-;-;5;38;-;-;11577
1;-;-;5;-;1248517;-;4680
1;-;-;5;-;1248518;-;4032
1;-;-;5;-;1248519;-;5153
1;-;-;5;-;1248520;-;4587
1;-;-;5;-;1248521;-;4592
1;-;-;5;-;1248522;-;4682
1;-;-;5;-;1248523;-;3938
1;-;-;5;-;1248524;-;4460
1;-;-;5;-;1248525;-;3908
1;-;-;5;-;1248526;-;4065
1;-;-;5;-;1248527;-;5307
1;-;-;5;-;1248528;-;4435
1;-;-;5;-;1248529;-;5006
1;-;-;5;-;1248530;-;5102
1;-;-;5;-;1248531;-;4398
1;-;-;5;-;1248532;-;5583
1;-;-;5;-;1248533;-;5301
1;-;-;5;-;1248534;-;5346
1;-;-;5;-;1248535;-;4644
1;-;-;5;-;1248536;-;4343
1;-;-;5;-;1248537;-;4622
1;-;-;5;-;1248538;-;4709
1;-;-;5;-;1248539;-;4746
1;-;-;5;-;1248540;-;3812
1;-;-;5;-;1248541;-;4199
1;-;-;5;-;1248542;-;5602
1;-;-;5;-;1248543;-;4834
1;-;-;5;-;1248544;-;4566
1;-;-;5;-;1248545;-;4842
1;-;-;5;-;1248546;-;4880
1;-;-;5;-;1248547;-;4776
1;-;-;5;-;1248548;-;4115
1;-;-;5;-;1248549;-;4237
1;-;-;5;-;1248550;-;4948
1;-;-;5;-;1248551;-;5554
1;-;-;5;-;1248552;-;3987
1;-;1;6;-;-;850905;-
1;-;-;6;39;-;-;14388
1;-;-;6;40;-;-;11710
1;-;-;6;41;-;-;14539
1;-;-;6;42;-;-;13462
1;-;-;6;43;-;-;12606
1;-;-;6;44;-;-;12867
1;-;-;6;-;1248553;-;4125
1;-;-;6;-;1248554;-;5558
1;-;-;6;-;1248555;-;3909
1;-;-;6;-;1248556;-;4857
1;-;-;6;-;1248557;-;5240
1;-;-;6;-;1248558;-;5343
1;-;-;6;-;1248559;-;4246
1;-;-;6;-;1248560;-;4524
1;-;-;6;-;1248561;-;5489
1;-;-;6;-;1248562;-;4715
1;-;-;6;-;1248563;-;4472
1;-;-;6;-;1248564;-;4562
1;-;-;6;-;1248565;-;3934
1;-;-;6;-;1248566;-;3800
1;-;-;6;-;1248567;-;3955
1;-;-;6;-;1248568;-;5566
1;-;-;6;-;1248569;-;5475
1;-;-;6;-;1248570;-;5102
1;-;-;6;-;1248571;-;4281
1;-;-;6;-;1248572;-;4184
1;-;-;6;-;1248573;-;5312
1;-;-;6;-;1248574;-;4309
1;-;-;6;-;1248575;-;4210
1;-;-;6;-;1248576;-;4715
1;-;-;6;-;1248577;-;4006
1;-;-;6;-;1248578;-;3923
1;-;-;6;-;1248579;-;4290
1;-;-;6;-;1248580;-;5550
1;-;-;6;-;1248581;-;4561
1;-;-;6;-;1248582;-;4747
1;-;-;6;-;1248583;-;5187
1;-;-;6;-;1248584;-;4581
1;-;-;6;-;1248585;-;4953
1;-;-;6;-;1248586;-;3895
1;-;-;6;-;1248587;-;4278
1;-;-;6;-;1248588;-;5320
1;-;-;6;-;1248589;-;4581
1;-;-;6;-;1248590;-;5272
1;-;-;6;-;1248591;-;4239
1;-;-;6;-;1248592;-;3986
1;-;-;6;-;1248593;-;4859
1;-;-;6;-;1248594;-;4618
1;-;-;6;-;1248595;-;4336
1;-;-;6;-;1248596;-;4166
1;-;-;6;-;1248597;-;5284
1;-;-;6;-;1248598;-;4588
1;-;-;6;-;1248599;-;5249
1;-;-;6;-;1248600;-;3926
1;-;-;6;-;1248601;-;4820
1;-;-;6;-;1248602;-;3830
1;-;1;7;-;-;557813;-
1;-;-;7;45;-;-;14520
1;-;-;7;46;-;-;11450
1;-;-;7;47;-;-;16054
1;-;-;7;48;-;-;12645
1;-;-;7;49;-;-;12924
1;-;-;7;50;-;-;15443
1;-;-;7;51;-;-;14397
1;-;-;7;-;1248603;-;5155
1;-;-;7;-;1248604;-;4090
1;-;-;7;-;1248605;-;4835
1;-;-;7;-;1248606;-;4457
1;-;-;7;-;1248607;-;5204
1;-;-;7;-;1248608;-;5240
1;-;-;7;-;1248609;-;4417
1;-;-;7;-;1248610;-;4033
1;-;-;7;-;1248611;-;4184
1;-;-;7;-;1248612;-;4874
1;-;-;7;-;1248613;-;4913
1;-;-;7;-;1248614;-;4798
1;-;-;7;-;1248615;-;4113
1;-;-;7;-;1248616;-;4139
1;-;-;7;-;1248617;-;4991
1;-;-;7;-;1248618;-;3976
1;-;-;7;-;1248619;-;5084
1;-;-;7;-;1248620;-;5575
1;-;-;7;-;1248621;-;5476
1;-;-;7;-;1248622;-;3825
1;-;-;7;-;1248623;-;4935
1;-;-;7;-;1248624;-;4302
1;-;-;7;-;1248625;-;3982
1;-;-;7;-;1248626;-;4030
1;-;-;7;-;1248627;-;4494
1;-;-;7;-;1248628;-;4995
1;-;-;7;-;1248629;-;4376
1;-;-;7;-;1248630;-;3877
1;-;-;7;-;1248631;-;4910
1;-;-;7;-;1248632;-;4895
1;-;-;7;-;1248633;-;4101
1;-;-;7;-;1248634;-;4950
1;-;-;7;-;1248635;-;3965
1;-;-;7;-;1248636;-;4931
1;-;-;7;-;1248637;-;4187
1;-;-;7;-;1248638;-;5620
1;-;-;7;-;1248639;-;5160
1;-;-;7;-;1248640;-;4091
1;-;-;7;-;1248641;-;4333
1;-;-;7;-;1248642;-;3906
1;-;-;7;-;1248643;-;5470
1;-;-;7;-;1248644;-;4127
1;-;-;7;-;1248645;-;4865
1;-;-;7;-;1248646;-;3791
1;-;-;7;-;1248647;-;4996
1;-;-;7;-;1248648;-;4644
1;-;-;7;-;1248649;-;4324
1;-;-;7;-;1248650;-;4198
1;-;-;7;-;1248651;-;5594
1;-;1;8;-;-;699680;-
1;-;-;8;52;-;-;15670
1;-;-;8;53;-;-;12410
1;-;-;8;54;-;-;12632
1;-;-;8;55;-;-;16322
1;-;-;8;56;-;-;12063
1;-;-;8;-;1248652;-;5296
1;-;-;8;-;1248653;-;4815
1;-;-;8;-;1248654;-;4007
1;-;-;8;-;1248655;-;4840
1;-;-;8;-;1248656;-;3862
1;-;-;8;-;1248657;-;4106
1;-;-;8;-;1248658;-;5057
1;-;-;8;-;1248659;-;4297
1;-;-;8;-;1248660;-;4776
1;-;-;8;-;1248661;-;3786
1;-;-;8;-;1248662;-;4703
1;-;-;8;-;1248663;-;4255
1;-;-;8;-;1248664;-;4328
1;-;-;8;-;1248665;-;5399
1;-;-;8;-;1248666;-;4135
1;-;-;8;-;1248667;-;5166
1;-;-;8;-;1248668;-;5467
1;-;-;8;-;1248669;-;4469
1;-;-;8;-;1248670;-;4448
1;-;-;8;-;1248671;-;3814
1;-;-;8;-;1248672;-;5187
1;-;-;8;-;1248673;-;3923
1;-;-;8;-;1248674;-;4944
1;-;-;8;-;1248675;-;4177
1;-;-;8;-;1248676;-;4012
1;-;-;8;-;1248677;-;4966
1;-;-;8;-;1248678;-;4922
1;-;-;8;-;1248679;-;3946
1;-;-;8;-;1248680;-;4060
1;-;-;8;-;1248681;-;4930
1;-;1;9;-;-;616061;-
1;-;-;9;57;-;-;12793
1;-;-;9;58;-;-;12563
1;-;-;9;59;-;-;11780
1;-;-;9;60;-;-;14769
1;-;-;9;61;-;-;13568
1;-;-;9;62;-;-;14008
1;-;-;9;-;1248682;-;5604
1;-;-;9;-;1248683;-;4033
1;-;-;9;-;1248684;-;4152
1;-;-;9;-;1248685;-;3897
1;-;-;9;-;1248686;-;5300
1;-;-;9;-;1248687;-;4525
1;-;-;9;-;1248688;-;4380
1;-;-;9;-;1248689;-;5529
1;-;-;9;-;1248690;-;5166
1;-;-;9;-;1248691;-;5501
1;-;-;9;-;1248692;-;3875
1;-;-;9;-;1248693;-;4256
1;-;-;9;-;1248694;-;4651
1;-;-;9;-;1248695;-;5329
1;-;-;9;-;1248696;-;4740
1;-;-;9;-;1248697;-;4978
1;-;-;9;-;1248698;-;4332
1;-;-;9;-;1248699;-;5581
1;-;-;9;-;1248700;-;5219
1;-;-;9;-;1248701;-;4332
1;-;-;9;-;1248702;-;5476
1;-;-;9;-;1248703;-;4617
1;-;-;9;-;1248704;-;3817
1;-;-;9;-;1248705;-;4158
1;-;-;9;-;1248706;-;5569
1;-;-;9;-;1248707;-;5252
1;-;-;9;-;1248708;-;4753
1;-;-;9;-;1248709;-;4363
1;-;-;9;-;1248710;-;4049
1;-;-;9;-;1248711;-;5405
1;-;-;9;-;1248712;-;3836
1;-;-;9;-;1248713;-;4903
1;-;-;9;-;1248714;-;4588
1;-;-;9;-;1248715;-;4817
1;-;-;9;-;1248716;-;4010
1;-;-;9;-;1248717;-;4985
1;-;-;9;-;1248718;-;4461
1;-;-;9;-;1248719;-;3902
1;-;-;9;-;1248720;-;5500
1;-;-;9;-;1248721;-;3814
1;-;1;10;-;-;873484;-
1;-;-;10;63;-;-;14904
1;-;-;10;64;-;-;13502
1;-;-;10;65;-;-;11774
1;-;-;10;66;-;-;16151
1;-;-;10;67;-;-;14081
1;-;-;10;-;1248722;-;4223
1;-;-;10;-;1248723;-;5323
1;-;-;10;-;1248724;-;3813
1;-;-;10;-;1248725;-;4153
1;-;-;10;-;1248726;-;4074
1;-;-;10;-;1248727;-;4988
1;-;-;10;-;1248728;-;5041
1;-;-;10;-;1248729;-;4916
1;-;-;10;-;1248730;-;4049
1;-;-;10;-;1248731;-;5581
1;-;-;10;-;1248732;-;4625
1;-;-;10;-;1248733;-;5410
1;-;-;10;-;1248734;-;3927
1;-;-;10;-;1248735;-;4092
1;-;-;10;-;1248736;-;5540
1;-;-;10;-;1248737;-;4884
1;-;-;10;-;1248738;-;4888
1;-;-;10;-;1248739;-;4453
1;-;-;10;-;1248740;-;5429
1;-;-;10;-;1248741;-;4641
1;-;-;10;-;1248742;-;5315
1;-;-;10;-;1248743;-;5613
1;-;-;10;-;1248744;-;5232
1;-;-;10;-;1248745;-;4358
1;-;-;10;-;1248746;-;5599
1;-;-;10;-;1248747;-;4233
1;-;-;10;-;1248748;-;5150
1;-;-;10;-;1248749;-;4680
1;-;-;10;-;1248750;-;4581
1;-;-;10;-;1248751;-;5581
1;-;-;10;-;1248752;-;3935
1;-;-;10;-;1248753;-;3934
1;-;-;10;-;1248754;-;4069
1;-;-;10;-;1248755;-;4687
1;-;-;10;-;1248756;-;4419
1;-;-;10;-;1248757;-;5426
1;-;-;10;-;1248758;-;5226
1;-;-;10;-;1248759;-;4778
1;-;-;10;-;1248760;-;4956
1;-;-;10;-;1248761;-;4493
1;-;-;10;-;1248762;-;5623
1;-;-;10;-;1248763;-;4374
1;-;-;10;-;1248764;-;5384
1;-;-;10;-;1248765;-;5240
1;-;-;10;-;1248766;-;4799
1;-;-;10;-;1248767;-;5490
1;-;-;10;-;1248768;-;5108
1;-;1;11;-;-;534475;-
1;-;-;11;68;-;-;12158
1;-;-;11;69;-;-;14173
1;-;-;11;70;-;-;11000
1;-;-;11;71;-;-;12165
1;-;-;11;72;-;-;14609
1;-;-;11;73;-;-;15258
1;-;-;11;74;-;-;11228
1;-;-;11;75;-;-;16037
1;-;-;11;-;1248769;-;4793
1;-;-;11;-;1248770;-;4115
1;-;-;11;-;1248771;-;3787
1;-;-;11;-;1248772;-;4533
1;-;-;11;-;1248773;-;5578
1;-;-;11;-;1248774;-;3762
1;-;-;11;-;1248775;-;4977
1;-;-;11;-;1248776;-;4156
1;-;-;11;-;1248777;-;5488
1;-;-;11;-;1248778;-;4839
1;-;-;11;-;1248779;-;3925
1;-;-;11;-;1248780;-;4381
1;-;-;11;-;1248781;-;4503
1;-;-;11;-;1248782;-;5159
1;-;-;11;-;1248783;-;4564
1;-;-;11;-;1248784;-;4609
1;-;-;11;-;1248785;-;4421
1;-;-;11;-;1248786;-;4989
1;-;-;11;-;1248787;-;4442
1;-;-;11;-;1248788;-;4757
1;-;-;11;-;1248789;-;3789
1;-;-;11;-;1248790;-;4141
1;-;-;11;-;1248791;-;5106
1;-;-;11;-;1248792;-;4890
1;-;-;11;-;1248793;-;4889
1;-;-;11;-;1248794;-;4263
1;-;-;11;-;1248795;-;3780
1;-;-;11;-;1248796;-;4903
1;-;-;11;-;1248797;-;4327
1;-;-;11;-;1248798;-;4964
1;-;-;11;-;1248799;-;5254
1;-;-;11;-;1248800;-;4436
1;-;-;11;-;1248801;-;5234
1;-;-;11;-;1248802;-;5521
1;-;-;11;-;1248803;-;4215
1;-;-;11;-;1248804;-;4088
1;-;-;11;-;1248805;-;4116
1;-;-;11;-;1248806;-;4414
1;-;-;11;-;1248807;-;5119
1;-;-;11;-;1248808;-;5590
1;-;-;11;-;1248809;-;3833
1;-;-;11;-;1248810;-;3974
1;-;-;11;-;1248811;-;3905
1;-;-;11;-;1248812;-;5550
1;-;-;11;-;1248813;-;5562
1;-;-;11;-;1248814;-;5444
1;-;-;11;-;1248815;-;5099
1;-;-;11;-;1248816;-;4962
1;-;-;11;-;1248817;-;4289
1;-;1;12;-;-;805875;-
1;-;-;12;76;-;-;14826
1;-;-;12;77;-;-;14888
1;-;-;12;78;-;-;15021
1;-;-;12;79;-;-;11616
1;-;-;12;80;-;-;11480
1;-;-;12;81;-;-;12637
1;-;-;12;82;-;-;13155
1;-;-;12;83;-;-;14729
1;-;-;12;-;1248818;-;3871
1;-;-;12;-;1248819;-;5336
1;-;-;12;-;1248820;-;4269
1;-;-;12;-;1248821;-;4621
1;-;-;12;-;1248822;-;4520
1;-;-;12;-;1248823;-;5315
1;-;-;12;-;1248824;-;5108
1;-;-;12;-;1248825;-;3891
1;-;-;12;-;1248826;-;5163
1;-;-;12;-;1248827;-;5162
1;-;-;12;-;1248828;-;4973
1;-;-;12;-;1248829;-;4601
1;-;-;12;-;1248830;-;4006
1;-;-;12;-;1248831;-;4466
1;-;-;12;-;1248832;-;4405
1;-;-;12;-;1248833;-;4074
1;-;-;12;-;1248834;-;5576
1;-;-;12;-;1248835;-;4331
1;-;-;12;-;1248836;-;4226
1;-;-;12;-;1248837;-;5056
1;-;-;12;-;1248838;-;4523
1;-;-;12;-;1248839;-;4504
1;-;-;12;-;1248840;-;4742
1;-;-;12;-;1248841;-;4768
1;-;-;12;-;1248842;-;4403
1;-;-;12;-;1248843;-;4909
1;-;-;12;-;1248844;-;4714
1;-;-;12;-;1248845;-;4244
1;-;-;12;-;1248846;-;4336
1;-;-;12;-;1248847;-;5469
1;-;-;12;-;1248848;-;4764
1;-;-;12;-;1248849;-;4281
1;-;-;12;-;1248850;-;5410
1;-;-;12;-;1248851;-;4083
1;-;-;12;-;1248852;-;4003
1;-;-;12;-;1248853;-;5578
1;-;-;12;-;1248854;-;4423
1;-;-;12;-;1248855;-;5245
1;-;-;12;-;1248856;-;4660
1;-;-;12;-;1248857;-;5178
1;-;-;12;-;1248858;-;4346
1;-;-;12;-;1248859;-;4528
1;-;-;12;-;1248860;-;5554
1;-;-;12;-;1248861;-;3787
1;-;-;12;-;1248862;-;5000
1;-;-;12;-;1248863;-;4064
1;-;-;12;-;1248864;-;5325
1;-;-;12;-;1248865;-;5220
1;-;1;13;-;-;567206;-
1;-;-;13;84;-;-;13649
1;-;-;13;85;-;-;12870
1;-;-;13;86;-;-;12832
1;-;-;13;87;-;-;13909
1;-;-;13;88;-;-;11762
1;-;-;13;89;-;-;14886
1;-;-;13;-;1248866;-;4732
1;-;-;13;-;1248867;-;5350
1;-;-;13;-;1248868;-;5035
1;-;-;13;-;1248869;-;5189
1;-;-;13;-;1248870;-;4352
1;-;-;13;-;1248871;-;4347
1;-;-;13;-;1248872;-;4827
1;-;-;13;-;1248873;-;5229
1;-;-;13;-;1248874;-;5064
1;-;-;13;-;1248875;-;5497
1;-;-;13;-;1248876;-;5564
1;-;-;13;-;1248877;-;4780
1;-;-;13;-;1248878;-;4758
1;-;-;13;-;1248879;-;5276
1;-;-;13;-;1248880;-;4591
1;-;-;13;-;1248881;-;4612
1;-;-;13;-;1248882;-;5308
1;-;-;13;-;1248883;-;5581
1;-;-;13;-;1248884;-;4128
1;-;-;13;-;1248885;-;5559
1;-;-;13;-;1248886;-;4148
1;-;-;13;-;1248887;-;4840
1;-;-;13;-;1248888;-;5634
1;-;-;13;-;1248889;-;3866
1;-;-;13;-;1248890;-;5492
1;-;-;13;-;1248891;-;5286
1;-;-;13;-;1248892;-;4168
1;-;-;13;-;1248893;-;3774
1;-;-;13;-;1248894;-;4591
1;-;-;13;-;1248895;-;5448
1;-;-;13;-;1248896;-;4090
1;-;-;13;-;1248897;-;5610
1;-;-;13;-;1248898;-;3914
1;-;-;13;-;1248899;-;5526
1;-;-;13;-;1248900;-;3766
1;-;-;13;-;1248901;-;5353
1;-;-;13;-;1248902;-;4140
1;-;-;13;-;1248903;-;4519
1;-;-;13;-;1248904;-;4347
1;-;-;13;-;1248905;-;4933
1;-;1;14;-;-;749431;-
1;-;-;14;90;-;-;14365
1;-;-;14;91;-;-;12502
1;-;-;14;92;-;-;15124
1;-;-;14;93;-;-;13168
1;-;-;14;94;-;-;13615
1;-;-;14;95;-;-;14861
1;-;-;14;-;1248906;-;5213
1;-;-;14;-;1248907;-;4464
1;-;-;14;-;1248908;-;5517
1;-;-;14;-;1248909;-;5019
1;-;-;14;-;1248910;-;4750
1;-;-;14;-;1248911;-;3786
1;-;-;14;-;1248912;-;4967
1;-;-;14;-;1248913;-;5484
1;-;-;14;-;1248914;-;5272
1;-;-;14;-;1248915;-;4871
1;-;-;14;-;1248916;-;4609
1;-;-;14;-;1248917;-;5371
1;-;-;14;-;1248918;-;3914
1;-;-;14;-;1248919;-;4796
1;-;-;14;-;1248920;-;4769
1;-;-;14;-;1248921;-;3816
1;-;-;14;-;1248922;-;4965
1;-;-;14;-;1248923;-;5308
1;-;-;14;-;1248924;-;4093
1;-;-;14;-;1248925;-;3984
1;-;-;14;-;1248926;-;5160
1;-;-;14;-;1248927;-;5586
1;-;-;14;-;1248928;-;4974
1;-;-;14;-;1248929;-;5023
1;-;-;14;-;1248930;-;4491
1;-;-;14;-;1248931;-;4072
1;-;-;14;-;1248932;-;4577
1;-;-;14;-;1248933;-;5596
1;-;-;14;-;1248934;-;4060
1;-;-;14;-;1248935;-;4146
1;-;-;14;-;1248936;-;4658
1;-;-;14;-;1248937;-;5134
1;-;-;14;-;1248938;-;5551
1;-;-;14;-;1248939;-;3887
1;-;-;14;-;1248940;-;4352
1;-;-;14;-;1248941;-;4753
1;-;-;14;-;1248942;-;3769
1;-;-;14;-;1248943;-;5041
1;-;-;14;-;1248944;-;3865
1;-;-;14;-;1248945;-;3880
1;-;-;14;-;1248946;-;5263
1;-;-;14;-;1248947;-;3788
1;-;-;14;-;1248948;-;5188
1;-;-;14;-;1248949;-;5367
1;-;-;14;-;1248950;-;5317
1;-;-;14;-;1248951;-;4692
1;-;-;14;-;1248952;-;4053
1;-;-;14;-;1248953;-;4248
1;-;1;15;-;-;718813;-
1;-;-;15;96;-;-;15995
1;-;-;15;97;-;-;12945
1;-;-;15;98;-;-;14464
1;-;-;15;99;-;-;11509
1;-;-;15;100;-;-;12982
1;-;-;15;101;-;-;12201
1;-;-;15;-;1248954;-;5263
1;-;-;15;-;1248955;-;4252
1;-;-;15;-;1248956;-;4913
1;-;-;15;-;1248957;-;3933
1;-;-;15;-;1248958;-;5446
